"ID","Sexe","Age","Contrat","Temps","Encadre","Ancienne","Secteur","TailleOr","PGC2","PGC3","PGC4","CSE4","CSE5","CSA5","EVPVP3","EVPVP4","EVPVP5","RECO1","RECO3","RECO5","JUST3","JUST4","JUST6","PPD1","PPD2","PPD3","COM3","COM4","COM5","DL3","DL4","DL5","PI1","PI2","PI3","PD1","PD3","PD5","ENG1","ENG2","ENG3","EPUI1","EPUI2","EPUI3","EPUI4","EPUI5"
"1","2","39","1","1","3","10.00","1","2","4","4","3","4","4","4","4","2","2","4","4","4","4","4","4","2","3","4","4","4","4","3","4","3","4","4","4","3","3","4","5","5","3","2","4","2","3","2"
"2","1","60","1","1","1","36.00","1","5","4","4","4","4","4","4","4","4","4","4","4","3","4","4","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","2","3","3","3","2"
"3","1","35","1","1","3","5.00","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","2"
"4","1","58","3","1","2","0.08","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4","3","4","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4","4","2","3","4","4","4","4"
"5","2","50","1","1","1","14.00","2","2","3","3","4","4","4","3","2","1","1","4","3","4","2","3","3","1","1","2","3","3","3","3","3","2","4","4","4","3","4","4","3","4","3","2","4","3","4","2"
"6","1","52","3","1","1","15.00","1","1","1","1","4","1","2","1","1","4","4","4","1","2","2","3","4","1","1","1","2","1","2","1","1","3","1","2","1","1","1","1","2","1","1","3","5","5","5","5"
"7","1","30","1","1","2","8.00","1","3","4","2","2","3","1","3","3","4","3","3","3","2","2","3","3","2","2","3","3","4","3","3","3","2","3","3","3","2","2","2","5","4","4","4","4","4","5","3"
"8","1","34","2","1","1","0.75","1","3","4","3","3","4","4","4","4","3","3","4","4","3","3","3","3","3","3","4","4","4","4","3","3","3","4","3","3","3","3","3","3","3","2","3","3","4","3","3"
"9","1","55","1","1","3","15.00","1","2","4","4","5","4","4","5","4","4","4","4","4","4","4","4","5","5","5","3","5","4","4","3","4","5","4","4","4","5","4","4","4","5","4","2","4","4","3","2"
"10","2","33","1","1","1","5.00","1","4","3","3","3","2","2","3","3","3","2","3","3","3","3","2","3","2","2","2","3","3","3","3","3","3","3","3","3","1","3","2","3","3","3","2","4","4","3","3"
